644409	gi|355398356|NR2-2/2HbN	99.59	246	1	0	1	246	1236	991	1e-129	 449
644409	gi|240129575|NR1	99.59	246	1	0	1	246	1272	1027	1e-129	 449
728826	gi|14456617|Na-ATPase	99.61	255	1	0	435	689	3993	3739	3e-134	 466
640429	gi|355398356|NR2-2/2HbN	100.00	239	0	0	1	239	1723	1961	2e-127	 442
640429	gi|240129575|NR1	100.00	50	0	0	190	239	1627	1676	2e-22	93.5
704025	gi|14456617|Na-ATPase	99.56	456	2	0	1	456	2014	2469	0.0	 832
752444	gi|603053|psbA	99.84	1240	2	0	1	1240	19	1258	0.0	2279
753374	gi|146739105|prk	100.00	1220	0	0	16	1235	1	1220	0.0	2254
625024	gi|14456617|Na-ATPase	81.19	218	37	4	1	216	2014	2229	2e-46	 172
739364	gi|14456617|Na-ATPase	98.96	865	9	0	1	865	1931	1067	0.0	1548
748182	gi|14456617|Na-ATPase	99.19	1106	9	0	1	1106	3761	2656	0.0	1993
748864	gi|32130540|psbO	99.18	1100	6	3	36	1132	1	1100	0.0	1978
750886	gi|14456617|Na-ATPase	99.26	1083	6	2	133	1214	1	1082	0.0	1954
